product_index,sku_code,design_nr,category,size,color
0,AN201-RED-L,AN201,AN : LEGGINGS,L,Red
1,AN201-RED-M,AN201,AN : LEGGINGS,M,Red
2,AN201-RED-S,AN201,AN : LEGGINGS,S,Red
3,AN201-RED-XL,AN201,AN : LEGGINGS,XL,Red
4,AN201-RED-XXL,AN201,AN : LEGGINGS,XXL,Red
5,AN202-ORANGE-L,AN202,AN : LEGGINGS,L,Orange
6,AN202-ORANGE-M,AN202,AN : LEGGINGS,M,Orange
7,AN202-ORANGE-S,AN202,AN : LEGGINGS,S,Orange
8,AN202-ORANGE-XL,AN202,AN : LEGGINGS,XL,Orange
9,AN202-ORANGE-XXL,AN202,AN : LEGGINGS,XXL,Orange
10,AN203-MAROON-L,AN203,AN : LEGGINGS,L,Maroon
11,AN203-MAROON-M,AN203,AN : LEGGINGS,M,Maroon
12,AN203-MAROON-S,AN203,AN : LEGGINGS,S,Maroon
13,AN203-MAROON-XL,AN203,AN : LEGGINGS,XL,Maroon
14,AN203-MAROON-XXL,AN203,AN : LEGGINGS,XXL,Maroon
15,AN204-PURPLE-L,AN204,AN : LEGGINGS,L,Purple
16,AN204-PURPLE-M,AN204,AN : LEGGINGS,M,Purple
17,AN204-PURPLE-S,AN204,AN : LEGGINGS,S,Purple
18,AN204-PURPLE-XL,AN204,AN : LEGGINGS,XL,Purple
19,AN204-PURPLE-XXL,AN204,AN : LEGGINGS,XXL,Purple
20,AN205-YELLOW-L,AN205,AN : LEGGINGS,L,Yellow
21,AN205-YELLOW-M,AN205,AN : LEGGINGS,M,Yellow
22,AN205-YELLOW-S,AN205,AN : LEGGINGS,S,Yellow
23,AN205-YELLOW-XL,AN205,AN : LEGGINGS,XL,Yellow
24,AN205-YELLOW-XXL,AN205,AN : LEGGINGS,XXL,Yellow
25,AN206-GREEN-L,AN206,AN : LEGGINGS,L,Green
26,AN206-GREEN-M,AN206,AN : LEGGINGS,M,Green
27,AN206-GREEN-S,AN206,AN : LEGGINGS,S,Green
28,AN206-GREEN-XL,AN206,AN : LEGGINGS,XL,Green
29,AN206-GREEN-XXL,AN206,AN : LEGGINGS,XXL,Green
30,AN207-PINK-L,AN207,AN : LEGGINGS,L,Pink
31,AN207-PINK-M,AN207,AN : LEGGINGS,M,Pink
32,AN207-PINK-S,AN207,AN : LEGGINGS,S,Pink
33,AN207-PINK-XL,AN207,AN : LEGGINGS,XL,Pink
34,AN207-PINK-XXL,AN207,AN : LEGGINGS,XXL,Pink
35,AN209-BIEGE-L,AN209,AN : LEGGINGS,L,Beige
36,AN209-BIEGE-M,AN209,AN : LEGGINGS,M,Beige
37,AN209-BIEGE-S,AN209,AN : LEGGINGS,S,Beige
38,AN209-BIEGE-XL,AN209,AN : LEGGINGS,XL,Beige
39,AN209-BIEGE-XXL,AN209,AN : LEGGINGS,XXL,Beige
40,AN210-NAVY-L,AN210,AN : LEGGINGS,L,Navy Blue
41,AN210-NAVY-M,AN210,AN : LEGGINGS,M,Navy Blue
42,AN210-NAVY-S,AN210,AN : LEGGINGS,S,Navy Blue
43,AN210-NAVY-XL,AN210,AN : LEGGINGS,XL,Navy Blue
44,AN210-NAVY-XXL,AN210,AN : LEGGINGS,XXL,Navy Blue
45,AN211-BLACK-L,AN211,AN : LEGGINGS,L,Black
46,AN211-BLACK-M,AN211,AN : LEGGINGS,M,Black
47,AN211-BLACK-S,AN211,AN : LEGGINGS,S,Black
48,AN211-BLACK-XL,AN211,AN : LEGGINGS,XL,Black
49,AN211-BLACK-XXL,AN211,AN : LEGGINGS,XXL,Black
50,AN212-WHITE-L,AN212,AN : LEGGINGS,L,White
51,AN212-WHITE-M,AN212,AN : LEGGINGS,M,White
52,AN212-WHITE-S,AN212,AN : LEGGINGS,S,White
53,AN212-WHITE-XL,AN212,AN : LEGGINGS,XL,White
54,AN212-WHITE-XXL,AN212,AN : LEGGINGS,XXL,White
55,AN213-BROWN-L,AN213,AN : LEGGINGS,L,Brown
56,AN213-BROWN-M,AN213,AN : LEGGINGS,M,Brown
57,AN213-BROWN-S,AN213,AN : LEGGINGS,S,Brown
58,AN213-BROWN-XL,AN213,AN : LEGGINGS,XL,Brown
59,AN213-BROWN-XXL,AN213,AN : LEGGINGS,XXL,Brown
60,BL001-50PINK,BL001,BLOUSE,FREE,Pink
61,BL003-50BLACK,BL003,BLOUSE,FREE,Black
62,BL004-50CHIKU,BL004,BLOUSE,FREE,Beige
63,BL005-54RED,BL005,BLOUSE,FREE,Red
64,BL006-54BLACK,BL006,BLOUSE,FREE,Black
65,BL007-61PINK,BL007,BLOUSE,FREE,Pink
66,BL008-61RED,BL008,BLOUSE,FREE,Red
67,BL009-61BLACK,BL009,BLOUSE,FREE,Black
68,BL010-61CHIKU,BL010,BLOUSE,FREE,Beige
69,BL011-62PINK,BL011,BLOUSE,FREE,Pink
70,BL013-62BLACK,BL013,BLOUSE,FREE,Black
71,BL014-62CHIKU,BL014,BLOUSE,FREE,Beige
72,BL015-63PINK,BL015,BLOUSE,FREE,Pink
73,BL016-63RED,BL016,BLOUSE,FREE,Red
74,BL017-63BLACK,BL017,BLOUSE,FREE,Black
75,BL018-63BEIGE,BL018,BLOUSE,FREE,Beige
76,BL019-71PINK,BL019,BLOUSE,FREE,Pink
77,BL020-71RED,BL020,BLOUSE,FREE,Red
78,BL021-71BLACK,BL021,BLOUSE,FREE,Black
79,BL022-71BEIGE,BL022,BLOUSE,FREE,Beige
80,BL023-74PINK,BL023,BLOUSE,FREE,Pink
81,BL024-74RED,BL024,BLOUSE,FREE,Red
82,BL025-74BLACK,BL025,BLOUSE,FREE,Black
83,BL026-74BEIGE,BL026,BLOUSE,FREE,Beige
84,BL029-78BLACK,BL029,BLOUSE,FREE,Black
85,BL030-78BEIGE,BL030,BLOUSE,FREE,Beige
86,BL031-79PINK,BL031,BLOUSE,FREE,Pink
87,BL034-150GOLD,BL034,BLOUSE,FREE,Gold
88,BL035-161GOLD,BL035,BLOUSE,FREE,Gold
89,BL036-176GOLD,BL036,BLOUSE,FREE,Gold
90,BL040-65PINK,BL040,BLOUSE,FREE,Pink
91,BL041-65RED,BL041,BLOUSE,FREE,Red
92,BL046-82RED,BL046,BLOUSE,FREE,Red
93,BL050-83RED,BL050,BLOUSE,FREE,Red
94,BL051-83BLACK,BL051,BLOUSE,FREE,Black
95,BL053-153GOLD,BL053,BLOUSE,FREE,Gold
96,BL055-164GOLD,BL055,BLOUSE,FREE,Gold
97,BL056-185GOLD,BL056,BLOUSE,FREE,Gold
98,BL057-65BLACK,BL057,BLOUSE,FREE,Black
99,BL058-65BEIGE,BL058,BLOUSE,FREE,Beige
100,BL060-75RED,BL060,BLOUSE,FREE,Red
101,BL061-75BLACK,BL061,BLOUSE,FREE,Black
102,BL073-85BLACK,BL073,BLOUSE,FREE,Black
103,BL074-85RED,BL074,BLOUSE,FREE,Red
104,BL075-85CHIKU,BL075,BLOUSE,FREE,Chiku
105,BL076-86BLACK,BL076,BLOUSE,FREE,Black
106,BL077-86RED,BL077,BLOUSE,FREE,Red
107,BL078-87BLACK,BL078,BLOUSE,FREE,Black
108,BL079-87RED,BL079,BLOUSE,FREE,Red
109,BL080-88BLACK,BL080,BLOUSE,FREE,Black
110,BL081-88PINK,BL081,BLOUSE,FREE,Pink
111,BL082-88CHIKU,BL082,BLOUSE,FREE,Beige
112,BL083-186GOLD,BL083,BLOUSE,FREE,Gold
113,BL084-187GOLD,BL084,BLOUSE,FREE,Gold
114,BL085-L,BL085,BLOUSE,L,Orange
115,BL085-M,BL085,BLOUSE,M,Orange
116,BL085-S,BL085,BLOUSE,S,Orange
117,BL085-XL,BL085,BLOUSE,XL,Orange
118,BL085-XS,BL085,BLOUSE,XS,Orange
119,BL085-XXL,BL085,BLOUSE,XXL,Orange
120,BL086,BL086,BLOUSE,FREE,Blue
121,BL086-L,BL086,BLOUSE,L,Blue
122,BL086-M,BL086,BLOUSE,M,Blue
123,BL086-S,BL086,BLOUSE,S,Blue
124,BL086-XL,BL086,BLOUSE,XL,Blue
125,BL086-XS,BL086,BLOUSE,XS,Blue
126,BL086-XXL,BL086,BLOUSE,XXL,Blue
127,BL087,BL087,BLOUSE,FREE,Multicolor
128,BL087-L,BL087,BLOUSE,L,Multicolor
129,BL087-M,BL087,BLOUSE,M,Multicolor
130,BL087-S,BL087,BLOUSE,S,Multicolor
131,BL087-XL,BL087,BLOUSE,XL,Multicolor
132,BL087-XS,BL087,BLOUSE,XS,Multicolor
133,BL087-XXL,BL087,BLOUSE,XXL,Multicolor
134,BL089-L,BL089,BLOUSE,L,Multicolor
135,BL089-M,BL089,BLOUSE,M,Multicolor
136,BL089-S,BL089,BLOUSE,S,Multicolor
137,BL089-XL,BL089,BLOUSE,XL,Multicolor
138,BL089-XS,BL089,BLOUSE,XS,Multicolor
139,BL089-XXL,BL089,BLOUSE,XXL,Multicolor
140,BL090-L,BL090,BLOUSE,L,Peach
141,BL090-M,BL090,BLOUSE,M,Peach
142,BL090-S,BL090,BLOUSE,S,Peach
143,BL090-XL,BL090,BLOUSE,XL,Peach
144,BL090-XS,BL090,BLOUSE,XS,Peach
145,BL090-XXL,BL090,BLOUSE,XXL,Peach
146,BL091-L,BL091,BLOUSE,L,Multicolor
147,BL091-M,BL091,BLOUSE,M,Multicolor
148,BL091-S,BL091,BLOUSE,S,Multicolor
149,BL091-XL,BL091,BLOUSE,XL,Multicolor
150,BL091-XS,BL091,BLOUSE,XS,Multicolor
151,BL091-XXL,BL091,BLOUSE,XXL,Multicolor
152,BL092-L,BL092,BLOUSE,L,Blue
153,BL092-M,BL092,BLOUSE,M,Blue
154,BL092-S,BL092,BLOUSE,S,Blue
155,BL092-XL,BL092,BLOUSE,XL,Blue
156,BL092-XS,BL092,BLOUSE,XS,Blue
157,BL092-XXL,BL092,BLOUSE,XXL,Blue
158,BL093-L,BL093,BLOUSE,L,Grey
159,BL093-M,BL093,BLOUSE,M,Grey
160,BL093-S,BL093,BLOUSE,S,Grey
161,BL093-XL,BL093,BLOUSE,XL,Grey
162,BL093-XS,BL093,BLOUSE,XS,Grey
163,BL093-XXL,BL093,BLOUSE,XXL,Grey
164,BL095-L,BL095,BLOUSE,L,Multicolor
165,BL095-M,BL095,BLOUSE,M,Multicolor
166,BL095-S,BL095,BLOUSE,S,Multicolor
167,BL095-XL,BL095,BLOUSE,XL,Multicolor
168,BL095-XS,BL095,BLOUSE,XS,Multicolor
169,BL095-XXL,BL095,BLOUSE,XXL,Multicolor
170,BL096-L,BL096,BLOUSE,L,Beige
171,BL096-M,BL096,BLOUSE,M,Beige
172,BL096-S,BL096,BLOUSE,S,Beige
173,BL096-XL,BL096,BLOUSE,XL,Beige
174,BL096-XS,BL096,BLOUSE,XS,Beige
175,BL096-XXL,BL096,BLOUSE,XXL,Beige
176,BL097-L,BL097,BLOUSE,L,Maroon
177,BL097-M,BL097,BLOUSE,M,Maroon
178,BL097-S,BL097,BLOUSE,S,Maroon
179,BL097-XL,BL097,BLOUSE,XL,Maroon
180,BL097-XS,BL097,BLOUSE,XS,Maroon
181,BL097-XXL,BL097,BLOUSE,XXL,Maroon
182,BL097-XXXL,BL097,BLOUSE,XXXL,Maroon
183,BL098,BL098,BLOUSE,FREE,Brown
184,BL098-L,BL098,BLOUSE,L,Brown
185,BL098-M,BL098,BLOUSE,M,Brown
186,BL098-S,BL098,BLOUSE,S,Brown
187,BL098-XL,BL098,BLOUSE,XL,Brown
188,BL098-XS,BL098,BLOUSE,XS,Brown
189,BL098-XXL,BL098,BLOUSE,XXL,Brown
190,BL099-L,BL099,BLOUSE,L,Black
191,BL099-M,BL099,BLOUSE,M,Black
192,BL099-S,BL099,BLOUSE,S,Black
193,BL099-XL,BL099,BLOUSE,XL,Black
194,BL099-XS,BL099,BLOUSE,XS,Black
195,BL099-XXL,BL099,BLOUSE,XXL,Black
196,BL100-L,BL100,BLOUSE,L,Green
